 Package                          Name                                              Type    Version       
 @font-your-face                  @fontyourface (fontyourface)                      Module  8.x-3.2       
 @font-your-face                  @fontyourface - Google Fonts (google_fonts_api)   Module  8.x-3.2       
 Chaos tool suite                 Chaos tools (ctools)                              Module  8.x-3.0       
 Chaos tool suite (Experimental)  Chaos tools blocks (ctools_block)                 Module  8.x-3.0       
 Core                             Automated Cron (automated_cron)                   Module  8.4.5         
 Core                             Block (block)                                     Module  8.4.5         
 Core                             Breakpoint (breakpoint)                           Module  8.4.5         
 Core                             CKEditor (ckeditor)                               Module  8.4.5         
 Core                             Color (color)                                     Module  8.4.5         
 Core                             Comment (comment)                                 Module  8.4.5         
 Core                             Configuration Manager (config)                    Module  8.4.5         
 Core                             Contact (contact)                                 Module  8.4.5         
 Core                             Contextual Links (contextual)                     Module  8.4.5         
 Core                             Custom Block (block_content)                      Module  8.4.5         
 Core                             Custom Menu Links (menu_link_content)             Module  8.4.5         
 Core                             Database Logging (dblog)                          Module  8.4.5         
 Core                             Field (field)                                     Module  8.4.5         
 Core                             Field UI (field_ui)                               Module  8.4.5         
 Core                             Filter (filter)                                   Module  8.4.5         
 Core                             Help (help)                                       Module  8.4.5         
 Core                             History (history)                                 Module  8.4.5         
 Core                             Internal Dynamic Page Cache (dynamic_page_cache)  Module  8.4.5         
 Core                             Internal Page Cache (page_cache)                  Module  8.4.5         
 Core                             Layout Discovery (layout_discovery)               Module  8.4.5         
 Core                             Menu UI (menu_ui)                                 Module  8.4.5         
 Core                             Node (node)                                       Module  8.4.5         
 Core                             Path (path)                                       Module  8.4.5         
 Core                             Quick Edit (quickedit)                            Module  8.4.5         
 Core                             RDF (rdf)                                         Module  8.4.5         
 Core                             Search (search)                                   Module  8.4.5         
 Core                             Shortcut (shortcut)                               Module  8.4.5         
 Core                             System (system)                                   Module  8.4.5         
 Core                             Taxonomy (taxonomy)                               Module  8.4.5         
 Core                             Text Editor (editor)                              Module  8.4.5         
 Core                             Toolbar (toolbar)                                 Module  8.4.5         
 Core                             Tour (tour)                                       Module  8.4.5         
 Core                             Update Manager (update)                           Module  8.4.5         
 Core                             User (user)                                       Module  8.4.5         
 Core                             Views (views)                                     Module  8.4.5         
 Core                             Views UI (views_ui)                               Module  8.4.5         
 Core (Experimental)              Field Layout (field_layout)                       Module  8.4.5         
 custom                           EU Cookie Compliance (eu_cookie_compliance)       Module  8.x-1.0-beta7 
 Development                      Devel (devel)                                     Module  8.x-1.2       
 Development                      Devel generate (devel_generate)                   Module  8.x-1.2       
 Field types                      Datetime (datetime)                               Module  8.4.5         
 Field types                      File (file)                                       Module  8.4.5         
 Field types                      Image (image)                                     Module  8.4.5         
 Field types                      Link (link)                                       Module  8.4.5         
 Field types                      Options (options)                                 Module  8.4.5         
 Field types                      Text (text)                                       Module  8.4.5         
 Layout                           Bootstrap Layouts (bootstrap_layouts)             Module  8.x-5.1       
 Layout                           Page Manager (page_manager)                       Module  8.x-4.0-beta2 
 Layout                           Page Manager UI (page_manager_ui)                 Module  8.x-4.0-beta2 
 Layout                           Panelizer (panelizer)                             Module  8.x-4.0       
 Other                            Pathauto (pathauto)                               Module  8.x-1.0       
 Other                            Token (token)                                     Module  8.x-1.1       
 Other                            Twig Blocks (twig_blocks)                         Module  8.x-1.x-dev   
 Other                            Twig tweak (twig_tweak)                           Module  8.x-1.9       
 Panels                           Panels (panels)                                   Module  8.x-4.2       
 Panels                           Panels IPE (panels_ipe)                           Module  8.x-4.2       
 SEO                              Metatag (metatag)                                 Module  8.x-1.4       
 Bootstrap                        Bootstrap (bootstrap)                             Theme   8.x-3.10      
 Bootstrap                        SDK (sdk)                                         Theme                 
 Core                             Bartik (bartik)                                   Theme   8.4.5         
 Core                             Seven (seven)                                     Theme   8.4.5         

